campus_name,longitude,latitude
Beltsville Campus,39.0592170,-76.8794270
Beltsville Campus,39.0592170,-76.8794270
Beltsville Campus,39.0592170,-76.8794270
Beltsville Campus,39.0592170,-76.8794270
East Campus,38.9396650,-76.9858490
East Campus,38.9210890,-77.0240520
East Campus,38.9397170,-76.9840340
Hospital,38.9181670,-77.0219920
Main Campus,38.9231300,-77.0215733
Main Campus,38.9196700,-77.0200100
Main Campus,38.9220890,-77.0214930
Main Campus,38.9219360,-77.0179050
Main Campus,38.9206720,-77.0175130
Main Campus,38.9215980,-77.0192830
Main Campus,38.9239870,-77.0190470
Main Campus,38.9264140,-77.0220730
Main Campus,38.9244280,-77.0219880
Main Campus,38.9175487,-77.0200937
Main Campus,38.9228630,-77.0207540
Main Campus,38.9223240,-77.0182590
Main Campus,38.9221740,-77.0205920
Main Campus,38.9215640,-77.0206030
Main Campus,38.9215150,-77.0202330
Main Campus,38.9207070,-77.0194040
Main Campus,38.9253650,-77.0217210
Main Campus,38.9245010,-77.0209600
Main Campus,38.9218530,-77.0172390
Main Campus,38.9185430,-77.0207530
Main Campus,38.9223790,-77.0246800
Main Campus,38.9236770,-77.0209250
Main Campus,38.9273280,-77.0209170
Main Campus,38.9212890,-77.0199110
Main Campus,38.9232750,-77.0187160
Main Campus,38.9253790,-77.0223650
Main Campus,38.9251060,-77.0224050
Main Campus,38.9252560,-77.0223570
Main Campus,38.9215640,-77.0214981
Main Campus,38.9242500,-77.0202090
Main Campus,38.9223640,-77.0196450
Main Campus,38.9215690,-77.0176740
Main Campus,38.9212140,-77.0185160
Main Campus,38.9255090,-77.0210510
Main Campus,38.9231419,-77.0248344
Main Campus,38.9198040,-77.0186450
Main Campus,38.9229900,-77.0218150
Main Campus,38.9255750,-77.0224110
Main Campus,38.9202830,-77.0234730
Main Campus,38.9202000,-77.0245560
Main Campus,38.9198770,-77.0217100
Main Campus,38.9253630,-77.0226140
Main Campus,38.9175000,-77.0204900
Main Campus,38.9203710,-77.0260910
Main Campus,38.9191226,-77.0221252
Main Campus,38.9206727,-77.0210208
Main Campus,38.9242650,-77.0209270
Main Campus,38.9212890,-77.0194820
Main Campus,38.9234050,-77.0192990
Main Campus,38.9188770,-77.0215790
Main Campus,38.9189940,-77.0201230
Main Campus,38.9187850,-77.0193100
Main Campus,38.9208800,-77.0206620
Main Campus,38.9227120,-77.0184600
Main Campus,38.9236930,-77.0218180
Main Campus,38.9199040,-77.0200400
Main Campus,38.9191690,-77.0205120
Main Campus,38.9195271,-77.0209534
Main Campus,38.9193030,-77.0190740
Main Campus,38.9191690,-77.0205760
Main Campus,38.9212730,-77.0198460
Main Campus,38.9178340,-77.0239880
Main Campus,38.9213060,-77.0240740
Main Campus,38.9191770,-77.0199860
Main Campus,38.9211878,-77.0251528
Main Campus,38.9211878,-77.0251528
Main Campus,38.9204380,-77.0180440
Main Campus,38.9206727,-77.0210208
Main Campus,38.9258630,-77.0220570
Main Campus,38.9254460,-77.0213480
Main Campus,38.9212730,-77.0196750
Main Campus,38.9213890,-77.0183660
Main Campus,38.9225410,-77.0210910
Main Campus,38.9215640,-77.0214981
Main Campus,38.9275660,-77.0211550
Main Campus,38.9208390,-77.0240520
Main Campus,38.9204016,-77.0253076
Main Campus,38.9231300,-77.0215733
Main Campus,38.9249950,-77.0225930
Main Campus,38.9193035,-77.0215732
Main Campus,38.9264480,-77.0225070
Main Campus,38.9203354,-77.0222825
Main Campus,38.9202710,-77.0261120
Main Campus,38.9224410,-77.0222280
Main Campus,38.9214230,-77.0182160
Main Campus,38.9204550,-77.0179800
Main Campus,38.9221240,-77.0209840
Main Campus,38.9224750,-77.0210480
Main Campus,38.9212230,-77.0208330
Main Campus,38.9202040,-77.0256610
Main Campus,38.9213060,-77.0196530
Main Campus,38.9198701,-77.0209732
Main Campus,38.9216110,-77.0184890
Main Campus,38.9217760,-77.0208170
Main Campus,38.9203340,-77.0210430
Main Campus,38.9221660,-77.0217160
Main Campus,38.9206087,-77.0216207
Main Campus,38.9223700,-77.0173250
Main Campus,38.9222240,-77.0189400
Main Campus,38.9259970,-77.0226140
Main Campus,38.9224080,-77.0178240
Main Campus,38.9205800,-77.0199970
Main Campus,38.9207090,-77.0185480
Off Campus,38.9158970,-77.0168420
Off Campus,38.9156918,-77.0177951
Off Campus,38.9147450,-77.0180440
Off Campus,38.9147780,-77.0181080
Off Campus,38.9146780,-77.0180650
Off Campus,38.9146950,-77.0181730
Off Campus,38.9279830,-77.0212840
Off Campus,38.9280000,-77.0213700
Off Campus,38.9166651,-77.0199467
Off Campus,38.9162827,-77.0215361
Off Campus,38.9183039,-77.0241108
Off Campus,38.9183392,-77.0241373
Off Campus,38.9205358,-77.0257051
Off Campus,38.9100967,-77.0159642
Off Campus,38.9179130,-77.0149730
Off Campus,38.9158423,-77.0222079
Off Campus,38.9147806,-77.0221914
Off Campus,38.9147806,-77.0221914
Off Campus,38.9143610,-77.0220570
Off Campus,38.9169510,-77.0221909
Off Campus,38.9171304,-77.0222333
Off Campus,38.9200400,-77.0211770
Off Campus,38.9168003,-77.0154862
West Campus,38.9427845,-77.0596163
West Campus,38.9427845,-77.0596163
West Campus,38.9427845,-77.0596163
West Campus,38.9427845,-77.0596163
West Campus,38.9426610,-77.0587630
West Campus,38.9427845,-77.0596163
West Campus,38.9427845,-77.0596163
