campus_name,campus_id,building_name,building_id,longitude,latitude,building_address,contact_name,contact_phone,description,image_url,aliasparkinges,aliases
Beltsville Campus,BC,Animal Research Building,ARB-81,39.059217,-76.879427,"7501 Muirkirk Road, Beltsville, MD",,,,,,
Beltsville Campus,BC,Security Building,SB-84,39.059217,-76.879427,"7501 Muirkirk Road, Beltsville  MD",,,,,,
Beltsville Campus,BC,Telescope Building,TEB-82,39.059217,-76.879427,"7501 Muirkirk Road, Beltsville, MD",,,,,,Observatory 
Beltsville Campus,BC,Telescope Storage Building,TSB-83,39.059217,-76.879427,"7501 Muirkirk Road, Beltsville, MD",,,,,,Observatory  Storage
East Campus,EC,Arrupe House,ARP-301,38.939665,-76.985849,1400 Shepherd St. NE,,,,,,
East Campus,EC,Parking - East Campus,901,38.921089,-77.024052,"Barry Place & 9th St NW, Washington, DC",,,,parking,,
East Campus,EC,"Divinity, School of",Div-300,38.939717,-76.984034,"1400 Shepherd St. NE, Washington, DC",,,School of Divinity and Mays Residence Hall,residence,,Mays Hall
Hospital,MC,Data processing Center,DPC-71,38.918167,-77.021992,"2121 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,Administration Building,ADM-1,38.92313003,-77.02157325,"2400 6th St. NW, Washington, DC",,,,,,Mordecai Johnson Administration Building|A-Building
Main Campus,MC,Allied Health Sciences ,AN2-17,38.91967,-77.02001,"6th & Bryant St. NW, Washington, DC",,,,,,Freedman's Annex II
Main Campus,MC,Architecture & Planning,HMB-3,38.922089,-77.021493,"2366 6th Street NW, Washington, DC",,,,,,Howard Mackey Building
Main Campus,MC,Baldwin Hall,BA-62B,38.921936,-77.017905,"2455 4th Street NW, Washington, DC",,,Residence Hall,residence,,Tubman Quadrangle
Main Campus,MC,Bethune Hall Annex,BX-6,38.920672,-77.017513,"2225 4th Street NW, Washington, DC",,,Residence Hall,residence,,Mary McLeod Bethune Annex
Main Campus,MC,Biology Building,EJH-7,38.921598,-77.019283,"415 College Street NW, Washington, DC",,,,,,E.E. Just Hall     
Main Campus,MC,Blackburn University Center,BUC-57,38.923987,-77.019047,"2397 6th St. NW, Washington, DC",,,,,,
Main Campus,MC,Burr Gymnasium,BUR-8,38.926414,-77.022073,"6th & Girard ST NW, Washington, DC",,,,,,John Burr Gymnasium Building
Main Campus,MC,"Business, School of",CB4-10,38.924428,-77.021988,"2600 6th Street NW, Washington, DC",,,,,,Class Room Building 4 
Main Campus,MC,Cancer Research Center,CCTR-19,38.91754874,-77.02009374,"2041 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,Carnegie Building,CAR-12,38.922863,-77.020754,"2395 6th Street NW, Washington, DC",,,,,,
Main Campus,MC,Center for Academic Reinforcement ,ASA-24,38.922324,-77.018259,"2441 4th St. NW, Washington, DC",,,,,,Academic Support Building A|CAR
Main Campus,MC,"Chapel, Rankin",RAN-50,38.922174,-77.020592,"2365 6th Street NW, Washington, DC",,,,,,Andrew Rankin Memorial Chapel
Main Campus,MC,Chemical Engineering Building,CME-16,38.92156395,-77.020603,"2300 6th Street NW, Washington, DC",,,,,,Dowing Hall
Main Campus,MC,Chemistry Building,CEM-15,38.921515,-77.020233,"525 College Street NW, Washington, DC",,,,,,
Main Campus,MC,"Communications, School of",CBP-13,38.920707,-77.019404,"525 Bryant Street NW, Washington, DC",,,,,,C. B. Powell Building
Main Campus,MC,Cook Hall,CO-18,38.925365,-77.021721,"601 Fairmont Street NW, Washington, DC",,,Residence Hall,residence,,
Main Campus,MC,Cramton Auditorium,CRA-20,38.924501,-77.02096,"2455 6th St. NW, Washington, DC",,,,,,
Main Campus,MC,Crandall Hall,CR-62C,38.921853,-77.017239,"2455 4th Street NW, Washington, DC",,,Residence Hall,residence,,Tubman Quadrangle
Main Campus,MC,"Dentistry, College of ",DEN-22,38.918543,-77.020753,"600 W Street NW, Washington, DC",,,,,, 
Main Campus,MC,Doors & More Building,DOM-400,38.922379,-77.02468,"2467 Sherman Avenue NW, Washington, DC",,,,,,Sculpture Studio (Fine Arts)
Main Campus,MC,Douglass Hall,DGH-23,38.923677,-77.020925,"2419 6th St. NW, Washington, DC",,,,,,
Main Campus,MC,Drew Hall,DR-21,38.927328,-77.020917,"511 Gresham Place NW, Washington, DC",,,Residence Hall,residence,,
Main Campus,MC,Early Learning Center (Child Development),ELC-58,38.921289,-77.019911,"531 College Street NW, Washington, DC",,,,,,Child Development
Main Campus,MC,"Education, School of",ASB-25,38.923275,-77.018716,"2500 4TH STREET NW, Washington, DC",,,,,,Academic Support Building B
Main Campus,MC,Effingham Apartments,2711GA-92,38.925379,-77.022365,"2711 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,Effingham Apartments,2715GA-93,38.925106,-77.022405,"2715 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,Effingham Apartments,2719GA-94,38.925256,-77.022357,"2719 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,"Engineering, Architecture & Computer Sciences, College of",LKD-26,38.92156395,-77.02149805,"2300 6th Street NW, Washington, DC",,,,,,Lewis K. Downing Hall
Main Campus,MC,Fine Arts,LVC-28,38.92425,-77.020209,"2455 6th Street NW, Washington, DC",,,,,,Lulu Vere Childers Hall 
Main Campus,MC,Founder's Library,LIB-29,38.922364,-77.019645,"500 Howard Place NW, Washington, DC",,,,,,
Main Campus,MC,Frazier Hall,FR-62F,38.921569,-77.017674,"2455 4th Street NW, Washington, DC",,,Residence Hall,residence,,Tubman Quadrangle
Main Campus,MC,Graduate School of Arts & Sciences,AN3-31,38.921214,-77.018516,"4th & College St. NW, Washington, DC",,,,,,Freedman's Annex III 
Main Campus,MC,Greene Stadium,GS-9,38.925509,-77.021051,Greene Stadium,,,,,,
Main Campus,MC,Harrison Brothers Building,HB-401,38.92314191,-77.02483437,"2525 Sherman Avenue NW, Washington, DC",,,,,,
Main Campus,MC,Health Sciences Library,HSL-200,38.919804,-77.018645,"501 W St. NW, Washington, DC",,202-884-1522,,,,Louis Stokes Health Sciences Library
Main Campus,MC,Howard Hall,HH-33,38.92299,-77.021815,"607 Howard Place NW, Washington, DC",,,,,,Oliver Otis Howard Hall
Main Campus,MC,Howard Manor,HMA-96,38.925575,-77.022411,"654 Girard Street NW, Washington, DC",,,,,,Howard University Community Association
Main Campus,MC,Howard Plaza Towers East,HPE-550,38.920283,-77.023473,"2251 Sherman Ave. NW, Washington, DC",,,Residence Hall,residence,,Howard Plaza Towers
Main Campus,MC,Howard Plaza Towers West,HPW-551,38.9202,-77.024556,"2251 Sherman Ave. NW, Washington, DC",,,Residence Hall,residence,,Howard Plaza Towers
Main Campus,MC,Howard University Center,HCTR-5,38.919877,-77.02171,"2225 Georgia Avenue NW, Washington, DC",,,,,,Bookstore
Main Campus,MC,Howard University Community Association,CAC-36,38.925363,-77.022614,"2731 Georgia Av. NW, Washington, DC",,,,,,Community Assoc. Center
Main Campus,MC,Howard University Hospital,HUH-67,38.9175,-77.02049,"2041 Georgia Ave NW, Washington, DC",,,,,,
Main Campus,MC,Howard University Service Center,HSC-39,38.920371,-77.026091,"2244 10th Street NW, Washington, DC / 1000 Florida Ave NW",,,,,,PFM
Main Campus,MC,HU Security Sub-station,HUSS-41,38.91912258,-77.02212519,"2200 Georgia Avenue NW, Washington, DC",,,,,,
Main Campus,MC,International Affairs Center ,RJBC-42,38.92067266,-77.02102083,"2218 6th Street NW, Washington, DC",,,,,,Ralph J. Bunche Center
Main Campus,MC,Ira Aldridge Theatre,IAT-43,38.924265,-77.020927,"2445 6th Street NW, Washington, DC",,,,,,
Main Campus,MC,Laser Chemistry Building,LCB-4,38.921289,-77.019482,"500 College Street NW, Washington, DC",,,,,,Chemistry Laser Research
Main Campus,MC,Locke Hall,LKH-44,38.923405,-77.019299,"2441 6th St. NW, Washington, DC",,,,,,
Main Campus,MC,Medical Arts Building,MAB-163,38.918877,-77.021579,"2139 Georgia Ave. NW, Washington, DC",,,,,, Student Health Center
